rbid,family,variant
6172,word,word_blockbase
6176,word,word_blockbase
6180,legacy,legacy_table
6181,word,word_blockbase
6182,word,word_blockbase
6183,word,word_blockbase
6186,legacy,legacy_table
6187,legacy,legacy_table
6188,legacy,legacy_table
6191,word,word_blockbase
6192,word,word_blockbase
6195,legacy,legacy_table
6196,word,word_blockbase
6197,legacy,legacy_table
6200,word,word_blockbase
6203,legacy,legacy_table
6204,legacy,legacy_table
6207,word,word_blockbase
6208,legacy,legacy_table
6210,word,word_blockbase
6212,legacy,legacy_table
6731,word,word_blockbase
6734,legacy,legacy_table
6735,word,word_blockbase
6749,legacy,legacy_table
6751,word,word_blockbase
6752,legacy,legacy_table
6753,legacy,legacy_table
6755,legacy,legacy_table
6756,legacy,legacy_table
6758,legacy,legacy_table
6762,legacy,legacy_table
6763,legacy,legacy_table
6767,legacy,legacy_table
6769,legacy,legacy_table
6777,legacy,legacy_table
6781,legacy,legacy_table
6788,legacy,legacy_table
6789,word,word_blockbase
6790,legacy,legacy_table
6791,legacy,legacy_table
6792,legacy,legacy_table
6838,legacy,legacy_table
6839,word,word_blockbase
6840,legacy,legacy_table
6841,legacy,legacy_table
6851,legacy,legacy_table
6852,legacy,legacy_table
6854,legacy,legacy_table
6858,legacy,legacy_table
6859,legacy,legacy_table
6860,legacy,legacy_table
6862,legacy,legacy_table
6863,legacy,legacy_table
6866,legacy,legacy_table
6869,legacy,legacy_table
6870,legacy,legacy_table
6872,legacy,legacy_table
6876,legacy,legacy_table
6877,legacy,legacy_table
6878,legacy,legacy_table
6879,legacy,legacy_table
6880,legacy,legacy_table
6881,legacy,legacy_table
6882,legacy,legacy_table
6884,legacy,legacy_table
6888,legacy,legacy_table
6889,legacy,legacy_table
6890,legacy,legacy_table
6898,word,word_documenthead
6899,word,word_documenthead
6900,word,word_documenthead
6902,word,word_documenthead
6903,word,word_documenthead
6905,word,word_documenthead
6906,word,word_documenthead
6907,word,word_documenthead
6908,word,word_documenthead
6909,word,word_documenthead
6910,word,word_documenthead
6911,word,word_documenthead
6912,word,word_documenthead
6913,word,word_documenthead
6914,word,word_documenthead
6915,word,word_documenthead
6916,word,word_documenthead
6917,word,word_documenthead
6918,word,word_documenthead
6919,word,word_documenthead
6920,word,word_documenthead
6921,word,word_documenthead
6922,word,word_documenthead
6923,word,word_documenthead
6924,word,word_documenthead
6925,word,word_documenthead
6926,word,word_documenthead
6927,word,word_documenthead
6928,word,word_documenthead
6929,word,word_documenthead
6930,word,word_documenthead
6931,word,word_documenthead
6932,word,word_documenthead
6933,word,word_documenthead
6934,word,word_documenthead
6935,word,word_documenthead
6936,word,word_documenthead
6937,word,word_documenthead
6938,word,word_documenthead
6940,word,word_documenthead
6941,word,word_documenthead
6942,word,word_documenthead
6948,word,word_documenthead
6949,word,word_documenthead
6950,word,word_documenthead
6951,word,word_documenthead
6952,word,word_documenthead
6953,word,word_documenthead
6954,word,word_documenthead
6955,word,word_documenthead
6956,word,word_documenthead
6957,word,word_documenthead
6958,word,word_documenthead
6959,word,word_documenthead
6960,word,word_documenthead
6961,word,word_documenthead
6962,word,word_documenthead
6964,word,word_documenthead
6965,word,word_documenthead
6966,word,word_documenthead
6967,word,word_documenthead
6968,word,word_documenthead
6969,word,word_documenthead
6970,word,word_documenthead
6972,word,word_documenthead
6973,word,word_documenthead
6974,word,word_documenthead
6975,word,word_documenthead
6976,word,word_documenthead
6977,word,word_documenthead
6982,word,word_documenthead
6983,word,word_documenthead
6984,word,word_documenthead
6985,word,word_documenthead
6987,word,word_documenthead
6988,word,word_documenthead
6990,word,word_documenthead
6991,word,word_documenthead
6993,word,word_documenthead
6994,word,word_documenthead
6995,word,word_documenthead
6996,word,word_documenthead
6997,word,word_documenthead
6998,word,word_documenthead
6999,word,word_documenthead
7000,word,word_documenthead
7001,word,word_documenthead
7002,word,word_documenthead
7003,word,word_documenthead
7004,word,word_documenthead
7005,word,word_documenthead
7006,word,word_documenthead
7007,word,word_documenthead
7008,word,word_documenthead
7009,word,word_documenthead
7010,word,word_documenthead
7012,word,word_documenthead
7013,word,word_documenthead
7014,word,word_documenthead
7015,word,word_documenthead
7016,word,word_documenthead
7017,word,word_documenthead
7018,word,word_documenthead
7019,word,word_documenthead
7020,word,word_documenthead
7021,word,word_documenthead
7022,word,word_documenthead
7023,word,word_documenthead
7024,word,word_documenthead
7025,word,word_documenthead
7026,word,word_documenthead
7027,word,word_documenthead
7028,word,word_documenthead
7029,word,word_documenthead
7031,word,word_documenthead
7032,word,word_documenthead
7033,word,word_documenthead
7034,word,word_documenthead
7035,word,word_documenthead
7036,word,word_documenthead
7037,word,word_documenthead
7038,word,word_documenthead
7039,word,word_documenthead
7040,word,word_documenthead
7041,word,word_documenthead
7042,word,word_documenthead
7043,word,word_documenthead
7044,word,word_documenthead
7045,word,word_documenthead
7046,word,word_documenthead
7047,word,word_documenthead
7048,word,word_documenthead
7049,word,word_documenthead
7050,word,word_documenthead
7051,word,word_documenthead
7053,word,word_documenthead
7054,word,word_documenthead
7055,word,word_documenthead
7056,word,word_documenthead
7058,word,word_documenthead
7062,word,word_documenthead
7063,word,word_documenthead
7064,word,word_documenthead
7065,word,word_documenthead
7066,word,word_documenthead
7067,word,word_documenthead
7068,word,word_documenthead
7071,word,word_documenthead
7072,word,word_documenthead
7074,word,word_documenthead
7077,word,word_documenthead
7078,word,word_documenthead
7079,word,word_documenthead
7080,word,word_documenthead
7081,word,word_documenthead
7082,word,word_documenthead
7083,word,word_documenthead
7084,word,word_documenthead
7086,word,word_documenthead
7087,word,word_documenthead
7089,word,word_documenthead
7090,word,word_documenthead
7092,word,word_documenthead
7093,word,word_documenthead
7094,word,word_documenthead
7095,word,word_documenthead
7096,word,word_documenthead
7097,word,word_documenthead
7098,word,word_documenthead
7099,word,word_documenthead
7101,word,word_documenthead
7102,word,word_documenthead
7103,word,word_documenthead
7104,word,word_documenthead
7105,word,word_documenthead
7106,word,word_documenthead
7107,word,word_documenthead
7108,word,word_documenthead
7109,word,word_documenthead
7110,word,word_documenthead
7111,word,word_documenthead
7112,word,word_documenthead
7113,word,word_documenthead
7114,word,word_documenthead
7115,word,word_documenthead
7116,word,word_documenthead
7117,word,word_documenthead
7118,word,word_documenthead
7119,word,word_documenthead
7120,word,word_documenthead
7121,word,word_documenthead
7122,word,word_documenthead
7123,word,word_documenthead
7124,word,word_documenthead
7125,word,word_documenthead
7126,word,word_documenthead
7127,word,word_documenthead
7128,word,word_documenthead
7129,word,word_documenthead
7130,word,word_documenthead
7131,word,word_documenthead
7133,word,word_documenthead
7135,word,word_documenthead
7136,word,word_documenthead
7140,word,word_documenthead
7141,word,word_documenthead
7142,word,word_documenthead
7143,word,word_documenthead
7144,word,word_documenthead
7145,word,word_documenthead
7146,word,word_documenthead
